Diameter (m),x (m),y (m),z (m)
0.0737446,39.7605,13.4399,5.58394
0.090695,12.1847,9.63144,2.51124
0.123513,2.62579,21.142,4.04254
0.0667616,25.4896,27.3914,9.95851
0.0512406,33.5972,28.0988,1.39861
0.0577499,24.8257,41.6149,9.51625
0.0593305,34.2395,47.5715,3.84729
0.0529055,11.9044,39.2251,7.02412
0.116367,33.3605,25.7011,9.82521
0.098663,15.1756,26.8662,6.36023
0.0728682,16.0409,10.9362,2.90972
0.0864645,1.90629,2.09858,6.61365
0.0991212,0.960642,36.0979,7.24581
0.0508328,38.1857,11.0218,2.48084
0.0566222,41.5276,6.16928,1.30966
0.0577053,28.1966,3.96216,3.63095
0.0529754,34.4293,1.18464,6.20499
0.0627807,3.30974,2.98014,2.11532
0.114191,7.03954,20.5197,2.85696
0.0505845,25.0704,15.9535,6.47736
0.0658647,19.8895,28.3228,0.359256
0.108763,41.1806,33.8234,2.51108
0.0534472,30.1168,46.7826,9.18166
0.10787,37.4088,27.2378,8.16146
0.0933898,13.3592,31.2293,4.59616
0.0511957,31.4965,8.25376,7.5535
0.0622257,9.26734,24.3394,3.69311
0.16169,13.8484,20.7891,0.0796265
0.105138,48.6457,7.66519,6.44953
0.0839989,26.6858,38.5519,7.42329
0.0915107,30.2158,3.80156,9.38978
0.0566359,29.7629,1.6406,9.51638
0.114546,37.2498,34.4653,2.51483
0.0656691,39.5726,28.4839,1.16733
0.0773674,24.2548,25.0786,4.30879
0.0615863,26.304,15.1197,4.75268
0.0585824,2.81061,14.6647,0.842881
0.0550829,18.7544,6.33842,3.27772
0.0547977,10.7032,10.2802,5.60554
0.0544008,37.1037,7.94934,5.34927
0.0758087,14.6881,3.79862,1.94685
0.38551,10.5246,33.1268,6.57832
0.214706,38.4217,15.8722,0.683501
0.0600352,35.6308,49.4671,1.50139
0.104171,4.7423,16.4272,6.2412
0.153162,36.0107,24.9836,7.83121
0.0633372,35.5672,11.0327,2.70002
0.0636315,27.3748,10.1304,8.49209
0.185314,26.7541,12.543,2.12035
0.0587298,6.043,44.6789,5.17373
0.0601744,21.9031,37.0082,4.28297
0.105089,7.034,21.7155,6.92372
0.0529554,17.5446,42.369,8.06236
0.0753804,5.17625,2.45452,6.78024
0.0548783,8.0306,28.8397,6.53809
0.0775971,20.3792,3.44876,3.61625
0.084105,47.8265,34.0066,4.48172
0.10086,14.8358,19.4552,8.13913
0.0512172,0.471665,27.1991,4.38061
0.0951857,41.8207,3.71326,7.1672
0.0547743,31.8108,17.1441,6.08818
0.0533011,6.21273,37.3826,2.87829
0.0601302,29.5684,10.8904,2.95209
0.0520358,32.7614,5.31762,4.24281
0.0606399,45.9947,49.8206,1.89261
0.0524699,4.71593,22.5234,6.94773
0.238345,3.18622,24.0314,3.46957
0.0753581,18.0415,23.8624,2.7698
0.107231,44.9727,17.1846,0.918091
0.0511718,13.5921,6.3771,9.99297
0.0555699,20.6818,44.0817,9.43388
0.0512187,15.8158,44.8054,7.25236
0.0839354,11.9252,27.3677,5.29864
0.0835843,41.8034,14.4737,5.99153
0.197293,27.0042,20.6524,8.42529
0.0508648,27.4949,40.8706,5.77848
0.105008,21.7183,25.9611,3.19411
0.067081,10.6938,19.8315,3.68722
0.0649763,7.15007,1.05106,5.4621
0.0579901,35.9952,23.3936,1.3341
0.0784986,11.5965,34.283,8.74988
0.0655125,43.7772,5.88056,4.90567
0.198578,22.9686,25.9582,6.18779
0.0521483,26.6799,29.4067,0.259745
0.1165,21.8672,42.4373,2.88405
0.0521237,48.3482,0.832699,4.77259
0.0808212,19.7428,0.0521126,9.02905
0.0557109,12.7157,29.2166,1.11699
0.0515519,4.3368,15.9249,8.84602
0.0711519,3.36703,16.9821,2.12774
0.0630495,1.3868,1.19055,4.68876
0.132184,4.78602,22.0683,2.19455
0.0772457,44.4571,15.643,1.75044
0.0877782,34.9047,43.1341,9.26886
0.539121,27.4474,28.7389,5.71975
0.0798207,41.3367,1.78166,6.39848
0.0831641,14.8133,26.0259,7.02479
0.0505061,17.8756,16.3506,8.85254
0.0519626,30.2425,28.5214,5.80081
0.0614884,0.686708,22.0142,6.99454
0.126445,4.17482,11.1552,2.68211
0.0606087,33.215,45.2491,6.27877
0.0500783,11.6072,4.42661,3.78254
0.0897125,35.4304,29.2466,5.45899
0.0666637,31.8586,7.77666,8.02738
0.0744267,20.3808,20.3045,4.58492
0.132286,19.8988,26.7385,6.94656
0.0580047,34.4161,1.58724,5.51417
0.143117,43.0949,8.23121,1.4197
0.0971692,13.1468,9.1145,5.77911
0.0808408,13.5434,5.71267,7.50785
0.108645,1.59298,34.5834,7.94021
0.0502828,11.2024,12.1291,3.81315
0.184331,26.7289,41.3097,0.299929
0.0540073,7.55321,34.7698,5.70471
0.0843671,25.4566,34.9853,3.46066
0.0517614,1.80244,5.5672,0.213729
0.0535386,22.8692,47.3872,0.508714
0.0518387,24.4562,43.5571,7.53919
0.0941231,42.3396,43.9073,1.46702
0.0624578,1.13212,48.6473,8.16271
0.055708,37.9037,33.1982,6.89802
0.0512419,32.8211,2.05636,2.53291
0.0619552,49.9658,48.0108,0.302257
0.062757,6.89655,42.6021,8.12614
0.0712304,48.3808,3.03138,1.43307
0.111111,28.4003,35.0225,4.29661
0.0697665,23.5864,12.4759,7.75856
0.0790362,28.5421,13.1017,7.77155
0.152277,31.9734,46.6302,7.56996
0.253394,28.7766,3.97606,2.9602
0.0501863,38.4942,35.9292,9.73592
0.0600695,33.4769,13.7621,0.396112
0.0565446,45.0987,27.5398,7.22738
0.234821,5.4926,12.3096,8.28106
0.0515089,8.68081,48.8865,1.39563
0.0509969,19.6313,18.6147,6.99803
0.0556653,0.176895,45.1992,4.4075
0.0755177,35.7757,13.072,8.70135
0.0613813,19.496,35.8572,8.15987
0.0532151,4.44597,37.598,2.65991
0.0823761,11.8941,4.93926,5.67841
0.105394,13.663,19.3197,9.46821
0.055385,20.2285,41.1962,6.9211
0.0781095,29.6886,13.4018,3.41802
0.595791,47.7019,36.0526,8.12405
0.068169,27.2899,8.88147,4.49342
0.0646416,24.9941,31.354,2.91603
0.070147,11.358,34.3086,2.06237
0.133218,0.984822,31.1117,2.56198
0.0838974,6.41751,8.9825,9.69314
0.0524834,12.5378,33.4973,0.945343
0.0513731,36.287,8.73184,1.83068
0.20889,18.7391,42.4609,3.59297
0.0548821,23.6154,40.7831,6.73995
0.0609492,10.644,26.3162,2.83026
0.0658555,3.59585,34.4508,7.17324
0.0502247,20.6136,14.9023,5.86842
0.0797253,19.884,17.1324,2.71796
0.064748,20.9583,10.8117,7.31334
0.133682,6.83978,7.31434,7.15577
0.0514853,26.6345,22.12,0.76747
0.353341,38.2156,18.962,2.20119
0.309148,0.559878,7.2195,1.10265
0.0837928,10.5193,3.87365,0.950393
0.0857489,31.1385,30.8248,3.66231
0.0540799,5.75983,47.5193,5.41392
0.0510366,23.781,17.3568,7.88502
0.0641142,28.2567,46.966,9.25899
0.0858593,37.8937,16.7396,4.03922
0.0574366,35.0158,32.7559,8.60432
0.0594782,7.87646,38.0045,0.0268066
0.101297,19.6283,1.16528,6.81671
0.0603041,4.53585,11.5886,9.54122
0.0517971,0.910433,14.9209,6.6107
0.100293,29.8916,11.1394,5.63004
0.059348,49.6091,34.3018,7.99872
0.0869658,37.4811,39.0188,8.32081
0.081897,7.45725,6.6323,9.01489
0.13005,36.9914,44.0294,4.62871
0.0781615,9.37752,0.544134,9.13902
0.0501836,2.67441,11.3064,2.82318
0.0656496,0.434626,0.203167,4.12337
0.0811871,37.5434,22.4987,3.57922
0.101559,27.8651,4.72491,1.78179
0.055456,40.6335,14.2747,4.91013
0.0568613,41.1721,0.764715,8.87428
0.122182,15.0835,26.3225,9.88743
0.106901,43.7452,28.7563,1.48688
0.0594824,12.9267,46.3132,3.54479
0.118976,35.1391,11.7296,2.15864
0.0959661,36.125,2.98935,0.672686
0.0566299,9.07351,7.50978,6.45121
0.172015,0.337096,10.6042,3.68936
0.0814379,11.1651,17.5862,2.44734
0.086444,10.8718,34.5619,7.37856
0.074242,12.4582,42.0266,5.31094
0.0526652,10.8427,6.5295,9.96913
0.143839,48.0827,8.46824,4.71995
0.0832043,20.4469,41.8953,0.560872
0.0920275,3.50567,13.4766,2.74709
0.218092,10.7549,0.746178,9.0727
0.0522898,22.0143,5.19327,7.96857
0.0580367,31.4926,10.4723,6.24244
0.10818,32.4735,40.8062,0.390506
0.0519798,44.4194,2.76603,7.17513
0.0732203,19.4399,10.5901,1.08107
0.0649463,15.5261,15.0837,8.16408
0.174157,20.184,44.7482,5.27092
0.0700305,31.4604,38.466,6.20264
0.100618,22.7119,41.689,7.10565
0.120444,8.12515,31.1977,5.60929
0.0749655,29.7419,32.9322,8.32354
0.0559533,11.4978,14.4557,4.88684
0.0513195,19.3166,33.3223,5.04243
0.0793406,13.8628,16.5086,4.80201
0.0788099,6.14461,19.398,5.23486
0.0777381,33.4417,40.3473,3.72728
0.0542466,33.9479,20.2542,7.23286
0.398108,3.78324,17.2533,2.90574
0.0542314,17.8469,2.5929,1.12811
0.079621,6.21938,8.16502,2.1449
0.143478,23.2112,21.0397,1.26804
0.126005,38.5291,20.6412,4.94415
0.0533701,47.4982,48.5292,4.91947
0.0653328,6.22186,48.8352,9.10826
0.0663869,12.2092,2.8882,5.75808
0.0789165,15.6759,0.993996,3.29249
0.050963,44.3903,5.04044,5.71324
0.127289,2.76354,22.4073,4.04661
0.102845,45.5055,17.2733,1.26496
0.0540973,37.7699,25.0897,4.63814
0.0540943,14.665,16.2209,5.84559
0.0523637,3.32461,39.1934,5.51612
0.0917824,43.6618,49.7283,1.67702
0.154569,14.4566,3.3028,4.68347
0.0549195,46.8401,42.7794,1.23461
0.0571127,34.8708,11.535,6.63976
0.0574953,23.5375,32.1094,0.761311
0.0730472,33.5982,1.96519,4.51531
0.0770748,37.3427,34.4677,8.15406
0.0537787,19.4836,10.2528,2.59344
0.0954893,27.7945,0.836092,8.49047
0.0947015,16.1059,3.47389,8.79909
0.0700758,7.22984,12.2047,4.25498
0.610456,4.24471,37.4948,1.88543
0.0553732,6.95006,34.5885,9.61856
0.061456,25.293,46.9477,7.87162
0.0570492,3.43863,47.3324,9.10108
0.0771509,14.2956,5.48144,8.37671
0.0722965,37.3006,49.6432,9.65178
0.075351,18.8302,37.0443,8.34241
0.059698,14.4131,25.1687,6.71559
0.139814,36.9891,26.4233,8.58057
0.0823181,38.9837,30.1436,4.1608
0.0553263,46.9497,48.5356,6.87145
0.199701,26.6525,43.0156,9.85214
0.075793,10.1158,26.816,2.74078
0.0625076,28.4616,21.8106,0.42748
0.0703325,29.3288,19.0506,3.12461
0.0790381,32.7356,19.6836,2.40035
0.0684122,34.4833,34.3323,8.19581
0.077708,10.0873,25.2783,3.658
0.15661,34.8375,13.0913,8.65186
0.136126,47.7004,5.57985,1.63364
0.0500769,34.1484,24.9028,3.00844
0.0528387,23.3788,45.0824,5.10453
0.0506531,17.8783,8.39568,3.68716
0.0582164,35.5692,44.8125,6.43808
0.0511384,41.7768,2.2799,7.6832
0.0525144,23.1598,27.7836,6.6343
0.0534556,47.4699,42.4673,9.04455
0.131374,34.0299,26.3827,0.649232
0.0666839,2.88933,14.3441,9.41094
0.0628813,35.2405,42.0164,8.70339
0.0518336,48.404,0.25354,6.24746
0.0531485,3.5729,39.7946,9.99105
0.0521453,37.3296,36.355,3.15664
0.0510416,23.0443,33.4679,9.2492
0.0706918,14.0916,5.53424,4.72985
0.0881087,30.7408,36.0763,1.49302
0.068653,8.65813,33.971,4.3199
0.0713079,19.2009,9.51909,2.47816
0.0513218,7.91191,5.10352,1.95528
0.0827197,29.608,4.55087,7.54382
0.0725442,33.8214,29.1799,3.05984
0.111234,13.8404,36.6907,3.46109
0.0507899,49.7029,22.1577,5.39305
0.051086,23.7495,39.7078,3.30066
0.0877296,32.5918,34.8052,7.79082
0.186264,37.5619,37.9069,4.90815
0.0837122,49.3983,33.2549,5.1328
0.0730243,4.9284,2.5448,1.05387
0.0586174,36.9024,43.9858,4.60593
0.0563416,41.051,4.47711,4.51919
0.0546543,30.8441,40.6689,4.73531
0.110577,0.0248441,9.74619,5.33587
0.0675285,19.2113,32.6893,3.65975
0.0881822,34.5005,8.47235,1.88685
0.0521385,31.5186,8.37836,8.80394
0.136457,32.0574,39.8821,5.57174
0.0686771,18.5283,2.66546,9.69007
0.0997451,33.6329,7.86514,3.48191
0.0618969,23.3801,46.6862,1.959
0.304299,1.13241,33.0177,5.89755
0.0597416,23.5626,22.8421,9.01289
0.0943062,2.87304,26.691,5.62158
0.0593814,26.9683,32.1719,2.10218
0.0747189,46.7268,35.1816,0.409932
0.0597367,48.2105,0.349008,1.53045
0.213633,41.9906,46.4932,4.4617
0.0510519,49.566,28.9584,9.50642
0.0595098,30.2225,47.5593,9.51825
0.0780937,17.5502,3.66831,5.62604
0.0653345,0.329466,25.832,3.18484
0.124346,49.4356,43.6118,4.99606
0.151122,23.0417,48.1224,9.41562
0.0580207,49.0201,33.8923,3.16768
0.0664197,42.5687,43.7695,1.11994
0.0521374,15.2672,5.35459,2.09329
0.0585369,29.0464,33.8416,3.50106
0.0649526,35.1783,6.1639,6.86357
0.0787352,8.41254,35.3959,7.78907
0.0659182,19.8577,1.87303,3.97942
0.138693,49.9901,24.2965,7.99546
0.08585,36.8331,6.88702,4.34039
0.091251,22.6587,38.2896,0.391957
0.12184,41.2059,3.13966,3.16129
0.0643726,29.4541,26.1253,6.82483
0.0672306,13.878,37.3352,5.7912
0.0669919,33.0705,13.6743,1.12379
0.0531965,30.5428,31.8419,5.74878
0.0888828,37.2616,13.8948,3.54205
0.125614,38.1082,10.7408,1.63073
0.0653895,25.8184,15.8995,6.61325
0.0836552,9.51519,16.273,6.63702
0.0673541,8.79058,24.3568,4.16713
0.0907733,27.3956,19.9186,3.84228
0.0588341,11.1911,19.1313,3.91933
0.0891639,42.7116,25.4515,9.51495
0.0549932,23.4693,35.531,1.82862
0.0752218,30.6422,34.2262,0.724079
0.0590278,11.6815,4.27661,9.98584
0.0736717,30.1988,12.96,6.07965
0.0690601,16.5763,25.7515,2.56098
0.0653474,48.1161,4.58665,0.553511
0.066047,35.8636,8.25222,5.34004
0.109232,22.719,29.9854,3.89772
0.0663081,41.4952,20.879,8.75841
0.0606624,23.1325,42.8298,3.01783
0.0890477,11.405,28.2005,9.66766
0.0607785,48.7442,15.154,0.978128
0.0965976,5.26925,19.8165,8.97111
0.0513985,41.1521,26.9828,0.479364
0.082736,1.64517,22.3925,8.69953
0.0506147,11.7976,27.9752,9.59169
0.0755486,17.4502,7.14668,5.69285
0.0940187,17.7531,22.0189,8.94648
0.101702,45.1428,12.0999,5.39754
0.265689,25.127,9.37464,2.11828
0.0577626,38.7596,16.2318,7.92907
0.19949,3.8998,24.4688,3.0483
0.0761318,43.0502,23.9699,9.78954
0.056208,3.26409,16.7156,6.99762
0.063156,11.1872,26.0961,6.80722
0.0520095,29.9635,46.6866,6.7935
0.0735217,11.4917,42.196,9.90559
0.110587,39.3358,27.2562,7.97943
0.0660444,12.9442,45.3192,6.25049
0.0530941,34.4337,26.3628,3.36604
0.0576712,21.3634,11.8443,5.20774
0.0587077,17.7712,9.34917,0.751834
0.0877908,47.768,22.1745,1.32779
0.188841,16.6035,31.5924,3.75252
0.224999,18.3753,31.0241,7.28359
0.0517903,45.3928,24.308,5.24076
0.073157,26.3047,31.5195,1.59131
0.113602,4.71135,14.8269,2.56482
0.103103,11.7132,11.3893,8.15614
0.0734419,34.5725,40.1701,2.71657
0.0737746,12.4455,6.39617,9.51714
0.055806,29.369,39.1512,9.3795
0.0602558,41.0665,35.3559,7.90262
0.0827604,10.5733,18.6774,0.117817
0.0738001,24.3467,24.2802,8.95832
0.0547032,38.6191,42.5097,5.06894
0.0655703,34.8213,25.3475,8.70913
0.114599,39.5853,15.8676,3.27388
0.0846512,7.66819,18.2137,1.57489
0.0508762,4.62297,4.34801,0.0517234
0.0707941,42.0293,5.78841,8.57972
0.194013,18.7507,40.834,9.8906
0.0515215,36.8049,17.3655,0.0441868
0.060554,41.966,39.4371,5.30861
0.0565587,34.7993,12.7943,9.5841
0.0574886,41.3878,22.1347,2.83507
0.10745,3.81283,39.7242,3.23621
0.0522107,20.6336,12.1811,4.16265
0.0566157,0.355215,35.4659,9.95394
0.266459,0.496218,9.39772,5.31414
0.0548081,23.5411,27.3219,0.158835
0.0773474,11.6887,38.5403,9.31466
0.0508021,43.2927,37.9865,8.39738
0.0575932,8.89267,28.6737,7.76436
0.0574897,25.3387,13.4773,7.31288
0.0558786,49.7037,22.8041,8.77928
0.12239,43.2635,29.7846,7.98662
0.0738202,26.8896,2.11595,5.71425
0.13624,39.2595,16.6693,0.0539429
0.070161,26.7439,46.5694,5.28313
0.0521001,48.4806,16.6713,2.68607
0.0506554,5.22988,36.6753,2.11976
0.0680053,6.11658,39.7416,8.06849
0.055495,26.1811,0.224944,6.28774
0.0917326,9.84909,5.5818,6.08119
0.142009,47.833,19.6309,6.11765
0.056582,24.3961,24.8785,2.02227
0.0587437,25.7856,6.89152,1.7879
0.0613919,35.6228,14.9428,2.39392
0.0514333,21.1127,34.0788,0.521861
0.144376,46.9187,5.13082,4.09303
0.0549002,9.44295,18.089,7.49579
0.141337,45.6959,49.4564,1.84469
0.0597298,39.6841,20.1638,2.86736
0.0546455,17.3454,34.2845,1.11294
0.0500529,44.2758,25.066,9.99694
0.131063,35.4801,30.3731,3.60458
0.0529971,49.1324,42.0542,8.75586
0.0823966,19.0813,15.2586,5.98599
0.0585483,15.4076,25.1113,3.86153
0.0650275,30.8865,4.03614,3.2603
0.198547,0.821264,40.2967,8.95414
0.053298,28.936,31.0406,7.44882
0.113464,45.2351,1.35635,3.90551
0.0784607,47.2476,1.45403,7.4516
0.0599831,7.77602,27.6196,2.8679
0.0999099,35.3112,19.6153,1.90891
0.060487,7.78771,34.5215,5.11241
0.090043,34.1492,38.0277,5.67615
0.0883607,37.4207,36.5963,9.30072
0.0571329,4.38416,40.3945,1.7215
0.0714431,7.7358,28.8152,3.16445
0.0553432,28.3575,5.96889,4.45537
0.14824,45.5051,38.2069,8.37806
0.0582169,30.0202,39.6714,4.64545
0.0865417,48.0758,37.6629,5.43258
0.0620409,14.6397,34.8152,3.49788
0.0586773,24.4077,22.7188,4.42578
0.0667201,17.5009,25.9835,0.129523
0.0562222,48.6604,45.9014,1.2557
0.0553801,27.9808,41.0034,9.07376
0.132957,46.9918,36.5297,1.15056
0.0608697,21.2571,24.5602,4.02175
0.186319,14.0067,1.4738,7.44096
0.11853,6.55972,28.6789,0.340157
0.337696,11.1244,42.3181,4.1303
0.0887809,38.6994,43.8963,3.86916
0.0862031,16.2918,35.7783,4.33737
0.11824,6.24593,23.5241,0.479108
0.0964461,19.3659,30.7178,5.39972
0.0805291,1.79255,35.1038,7.51476
0.0600897,44.1207,11.7402,3.96638
0.072306,24.7264,10.4548,8.10464
0.0929811,22.094,48.8767,3.05516
0.0654238,1.40684,42.6905,8.69572
0.0701625,41.4696,22.4055,7.1372
0.108541,22.4152,34.9805,0.285017
0.143607,14.7412,2.93727,9.76642
0.054296,28.3703,23.6123,6.09361
0.0663505,17.746,32.529,5.48001
0.111603,47.3934,1.30073,8.21471
0.113177,24.0797,23.7839,8.18906
0.0731055,30.94,46.5865,0.869306
0.0603117,14.3412,43.1377,2.64658
0.0895974,48.4735,9.23894,1.78777
0.069896,27.9283,14.0607,0.229099
0.067626,10.7173,45.5109,0.934417
0.0969759,32.2861,25.9563,0.47742
0.0553678,10.0801,26.9595,5.28558
0.0526029,4.63373,43.6892,8.22417
0.0748901,10.4219,39.6634,4.55491
0.0797675,4.92672,31.3624,4.06891
0.0507068,39.2157,1.29434,5.29169
0.15269,32.9498,12.4981,6.20349
0.111239,49.3222,5.94135,5.33572
0.0658991,32.6415,32.5497,9.95328
0.0510213,27.0158,34.1795,0.496943
0.0583866,35.3396,3.00476,2.84843
0.120007,39.0292,17.865,9.35815
0.10441,21.131,24.6146,6.46878
0.091041,45.3312,46.2056,4.9683
0.0572355,1.88287,28.1468,8.33563
0.132892,29.9311,18.4488,0.409754
0.0713365,1.72064,46.8856,9.36233
0.0724924,16.833,24.6448,7.99777
0.204788,27.4262,30.1382,1.70913
0.0596723,46.5978,45.3469,8.3859
0.0945857,44.9001,26.6848,8.41394
0.079667,26.5087,12.6449,5.23531
0.06213,16.0518,31.4138,4.92383
0.10013,28.0725,6.49582,1.63594
0.120595,5.76453,48.7746,5.1381
0.0547731,7.55728,9.36041,9.78349
0.0525601,0.543638,17.642,5.89668
0.311833,49.2593,27.0372,2.53464
0.0703497,32.7476,6.79084,7.17548
0.0600289,31.9049,20.255,4.0181
0.302089,6.18824,36.6836,3.60619
0.0575979,42.4787,31.2648,7.99652
0.0720887,30.4326,10.4251,3.82766
0.0673205,48.3914,11.2737,5.60086
0.137044,5.77003,40.8759,7.44691
0.127927,1.80031,43.6606,8.91409
0.065226,21.486,37.4355,2.14123
0.0896206,44.2862,48.4015,5.56399
0.0788411,1.64532,29.0632,6.74549
0.0551971,17.9073,10.3977,7.71909
0.0674843,20.4948,14.4736,9.06876
0.0699291,31.9148,34.1295,2.74352
0.0540556,48.3716,3.29214,4.30286
0.117169,31.9039,14.8346,2.74452
0.0546929,17.0987,15.8268,5.63496
0.149708,26.0958,46.5659,1.59691
0.0938549,47.6778,22.1179,1.31699
0.0595245,12.2013,42.7439,3.31407
0.197756,19.5184,1.62708,3.07516
0.0819021,0.88249,38.0172,2.39291
0.0842233,6.20467,5.45405,5.61901
0.0684198,24.7909,44.7937,4.89382
0.113543,27.8972,5.50991,6.17026
0.0675703,34.9121,42.5857,3.47031
0.072771,11.4203,18.5871,9.3107
0.0501445,8.8148,35.2323,7.08027
0.0717628,24.3403,12.9233,9.94063
0.0601424,9.87372,16.2618,4.4163
0.130171,8.88452,19.4655,8.70296
0.051753,10.0809,25.7837,2.29864
0.057126,5.47102,29.6362,4.39241
0.0524828,11.4609,28.9927,4.94754
0.0650116,13.5235,27.9808,1.93213
0.063922,5.16676,21.3186,7.87961
0.0718769,19.1541,39.9456,5.08878
0.0507147,5.82375,30.0497,2.29096
0.109733,0.37219,5.96989,4.66967
0.0507083,25.2477,7.87783,7.47137
0.139178,13.7021,19.9238,8.47156
0.0752906,45.5034,35.5927,8.58842
0.0799817,20.3072,4.64886,8.39856
0.0683291,34.4871,23.3618,2.82957
0.0583562,10.3917,30.5001,1.62923
0.0896098,42.6094,47.1502,9.58236
0.376566,41.336,25.5956,3.53742
0.0594298,15.6831,23.847,1.8378
0.107765,5.72246,42.4623,6.55993
0.0533224,24.3941,4.76409,5.75308
0.0545012,43.7038,29.1417,6.38578
0.125209,26.6951,34.2876,1.66233
0.124484,33.4655,49.3803,0.533405
0.0969456,37.234,43.2725,4.73084
0.111033,1.40288,9.74574,0.915446
0.076109,34.0356,19.4644,2.45161
0.0521409,28.4374,46.4436,8.64815
0.0560047,8.60532,34.5846,9.46886
0.0617569,42.1923,13.2695,3.05165
0.0782164,33.7693,26.661,6.9882
0.0598733,19.6718,36.3511,3.03761
0.0554182,19.1033,22.5848,0.385792
0.084975,16.3987,24.9753,1.7425
0.0723513,24.6854,41.2472,2.77627
0.051031,5.61676,17.4956,9.92527
0.0688586,22.3152,4.82393,0.960153
0.0566581,32.1351,3.34647,0.837423
0.185258,43.9758,45.6063,6.06762
0.0527806,45.174,18.596,0.290609
0.0503981,9.71456,9.5769,2.42086
0.0597905,46.9379,42.3633,8.23344
0.0547213,47.8208,35.5219,5.6383
0.0548219,35.6487,1.21159,3.07576
0.0623756,6.37316,34.9466,7.93984
0.0942184,1.46033,49.9072,5.04575
0.0500227,19.7177,17.6446,2.07862
0.0873921,31.0787,10.1603,8.49186
0.0541049,3.59935,38.7389,3.35888
0.0546581,16.9607,1.1286,3.271
0.0561975,1.83792,42.6606,4.48127
0.054461,33.1198,23.9208,2.09038
0.0964551,15.2658,27.8247,5.33169
0.0551441,32.1846,5.96601,1.3509
0.0964549,41.2062,20.7687,1.38478
0.0520097,39.3578,30.5615,9.31922
0.0773461,15.6292,3.62185,7.36057
0.0525141,4.21162,19.9728,1.14621
0.0704169,20.8815,12.3442,1.47519
0.103602,49.266,23.3853,0.333929
0.0731071,49.9284,8.82016,4.71796
0.0582787,48.7395,16.5556,1.4698
0.0634798,1.17601,32.6997,0.955915
0.0800182,46.7951,27.4788,8.59937
0.127178,3.39957,42.89,0.664535
0.0525056,27.1519,13.2851,7.08881
0.0544345,13.002,24.2145,8.38403
0.137275,24.8115,12.7178,7.54496
0.0651533,47.9154,5.69476,2.89466
0.0535847,20.8017,1.73355,5.29949
0.0669983,2.58919,33.4234,0.401766
0.0674065,3.34636,33.1767,9.32579
0.193646,3.95703,37.4564,6.34122
0.0856449,0.6296,37.4448,4.96549
0.0755817,14.784,30.1344,0.0476078
0.0515293,3.51403,9.0325,3.11668
0.070113,3.07342,35.1235,4.51277
0.0669848,22.9806,9.46872,4.73631
0.0745233,24.6444,7.36787,4.69274
0.0551046,41.9447,24.2841,1.62524
0.0668341,27.829,26.7108,5.98754
0.089347,20.0931,41.5852,5.52492
0.0620109,6.10501,32.6484,0.835196
0.136001,31.237,31.0126,7.95385
0.0754321,24.0605,30.6441,6.97732
0.0565813,48.01,20.8745,1.2537
0.0657806,10.6972,32.9373,0.65218
0.125662,46.0325,15.6371,8.43417
0.0701757,15.9448,37.7188,0.233364
0.0669334,15.9533,39.764,1.74446
0.0762498,39.6237,38.7623,8.7782
0.0575739,21.5706,39.6112,3.11448
0.0584864,28.1747,0.943013,9.59593
0.0506652,4.63623,44.358,1.56646
